127.0.0.1 - - [06/Sep/2023:12:58:40 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [06/Sep/2023:13:51:34 +0900] "GET /myHTML/default.html HTTP/1.1" 200 1302
0:0:0:0:0:0:0:1 - - [06/Sep/2023:13:51:34 +0900] "GET /myHTML/default.html HTTP/1.1" 200 1302
0:0:0:0:0:0:0:1 - - [06/Sep/2023:14:19:32 +0900] "GET /myHTML/default.html HTTP/1.1" 200 1475
0:0:0:0:0:0:0:1 - - [06/Sep/2023:14:19:32 +0900] "GET /myHTML/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2023:14:19:32 +0900] "GET /myHTML/images/facebook.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2023:14:19:32 +0900] "GET /myHTML/images/twitter.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2023:14:19:32 +0900] "GET /myHTML/default.html HTTP/1.1" 200 1475
0:0:0:0:0:0:0:1 - - [06/Sep/2023:14:20:21 +0900] "GET /myHTML/default.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2023:14:20:21 +0900] "GET /myHTML/default.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2023:14:20:55 +0900] "GET /myHTML/default.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2023:14:20:55 +0900] "GET /myHTML/default.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2023:14:21:24 +0900] "GET /myHTML/default.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2023:14:21:24 +0900] "GET /myHTML/default.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2023:15:36:04 +0900] "GET /myHTML/default.html HTTP/1.1" 200 1475
0:0:0:0:0:0:0:1 - - [06/Sep/2023:15:36:04 +0900] "GET /myHTML/css/default.css HTTP/1.1" 200 2309
0:0:0:0:0:0:0:1 - - [06/Sep/2023:15:36:04 +0900] "GET /myHTML/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2023:15:36:04 +0900] "GET /myHTML/images/twitter.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2023:15:36:04 +0900] "GET /myHTML/images/facebook.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2023:15:36:04 +0900] "GET /myHTML/images/bullet.gif HTTP/1.1" 200 1160
0:0:0:0:0:0:0:1 - - [06/Sep/2023:15:36:04 +0900] "GET /myHTML/images/under_logo.png HTTP/1.1" 200 4645
0:0:0:0:0:0:0:1 - - [06/Sep/2023:15:36:04 +0900] "GET /myHTML/default.html HTTP/1.1" 200 1475
0:0:0:0:0:0:0:1 - - [06/Sep/2023:15:39:26 +0900] "GET /myHTML/default.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2023:15:39:26 +0900] "GET /myHTML/default.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2023:15:43:36 +0900] "GET /myHTML/default.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2023:15:43:36 +0900] "GET /myHTML/default.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2023:15:43:46 +0900] "GET /myHTML/css/default.css HTTP/1.1" 200 2352
0:0:0:0:0:0:0:1 - - [06/Sep/2023:15:44:07 +0900] "GET /myHTML/images/blue.gif HTTP/1.1" 200 1096
0:0:0:0:0:0:0:1 - - [06/Sep/2023:15:44:26 +0900] "GET /myHTML/default.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2023:15:44:26 +0900] "GET /myHTML/css/default.css HTTP/1.1" 200 2462
0:0:0:0:0:0:0:1 - - [06/Sep/2023:15:44:26 +0900] "GET /myHTML/images/shadow.png HTTP/1.1" 200 1079
0:0:0:0:0:0:0:1 - - [06/Sep/2023:15:44:26 +0900] "GET /myHTML/default.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2023:15:51:02 +0900] "GET /myHTML/css/default.css HTTP/1.1" 200 2462
0:0:0:0:0:0:0:1 - - [06/Sep/2023:15:51:02 +0900] "GET /myHTML/css/default.css HTTP/1.1" 200 2462
0:0:0:0:0:0:0:1 - - [06/Sep/2023:15:51:06 +0900] "GET /myHTML/default.html HTTP/1.1" 200 1475
0:0:0:0:0:0:0:1 - - [06/Sep/2023:15:51:06 +0900] "GET /myHTML/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2023:15:51:06 +0900] "GET /myHTML/images/facebook.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2023:15:51:06 +0900] "GET /myHTML/images/twitter.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2023:15:51:06 +0900] "GET /myHTML/images/under_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2023:15:51:06 +0900] "GET /myHTML/images/bullet.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2023:15:51:06 +0900] "GET /myHTML/default.html HTTP/1.1" 200 1475
